plot,pop,trt,rep,rate,run,biomass,injury
101,R,1,1,0,I,0.72,0
102,R,1,2,0,I,1.13,0
103,R,1,3,0,I,0.97,0
104,R,1,4,0,I,0.43,0
105,R,1,5,0,I,0.89,0
106,R,1,6,0,I,0.79,0
201,R,2,1,109,I,0.86,1
202,R,2,2,109,I,1,5
203,R,2,3,109,I,0.58,2
204,R,2,4,109,I,0.85,1
205,R,2,5,109,I,0.81,1
206,R,2,6,109,I,1.17,3
301,R,3,1,217,I,0.84,5
302,R,3,2,217,I,0.81,7
303,R,3,3,217,I,0.67,5
304,R,3,4,217,I,0.71,10
305,R,3,5,217,I,1.24,6
306,R,3,6,217,I,0.83,8
401,R,4,1,434,I,0.3,40
402,R,4,2,434,I,0.5,20
403,R,4,3,434,I,0.06,100
404,R,4,4,434,I,0.42,35
405,R,4,5,434,I,0.33,50
406,R,4,6,434,I,0.46,15
501,R,5,1,870,I,0.15,65
502,R,5,2,870,I,0.64,25
503,R,5,3,870,I,0.09,95
504,R,5,4,870,I,0.09,95
505,R,5,5,870,I,0.09,85
506,R,5,6,870,I,0.07,95
601,R,6,1,1740,I,0.07,99
602,R,6,2,1740,I,0,100
603,R,6,3,1740,I,0,100
604,R,6,4,1740,I,0.04,98
605,R,6,5,1740,I,0,99
606,R,6,6,1740,I,0.05,98
701,R,7,1,3470,I,0,95
702,R,7,2,3470,I,0,100
703,R,7,3,3470,I,0,100
704,R,7,4,3470,I,0,95
705,R,7,5,3470,I,0,100
706,R,7,6,3470,I,0,100
801,R,8,1,6950,I,0,99
802,R,8,2,6950,I,0,100
803,R,8,3,6950,I,0,98
804,R,8,4,6950,I,0,100
805,R,8,5,6950,I,0,99
806,R,8,6,6950,I,0,100
901,R,9,1,13900,I,0,99
902,R,9,2,13900,I,0,100
903,R,9,3,13900,I,0,99
904,R,9,4,13900,I,0,100
905,R,9,5,13900,I,0,100
906,R,9,6,13900,I,0,98
1001,R,10,1,27800,I,0,100
1002,R,10,2,27800,I,0,100
1003,R,10,3,27800,I,0,100
1004,R,10,4,27800,I,0,100
1005,R,10,5,27800,I,0,100
1006,R,10,6,27800,I,0,100
101,R,1,1,0,II,1.65,0
102,R,1,2,0,II,0.72,0
103,R,1,3,0,II,1.37,0
104,R,1,4,0,II,0.98,0
105,R,1,5,0,II,0.92,0
106,R,1,6,0,II,1.22,0
201,R,2,1,109,II,1,1
202,R,2,2,109,II,1.11,3
203,R,2,3,109,II,0.6,5
204,R,2,4,109,II,0.81,3
205,R,2,5,109,II,0.82,5
206,R,2,6,109,II,0.69,3
301,R,3,1,217,II,0.59,6
302,R,3,2,217,II,0.79,5
303,R,3,3,217,II,0.41,20
304,R,3,4,217,II,0.74,7
305,R,3,5,217,II,0.83,8
306,R,3,6,217,II,0.63,10
401,R,4,1,434,II,0.38,25
402,R,4,2,434,II,0.54,70
403,R,4,3,434,II,0.43,20
404,R,4,4,434,II,0.5,30
405,R,4,5,434,II,0.09,80
406,R,4,6,434,II,0.07,85
501,R,5,1,870,II,0.38,65
502,R,5,2,870,II,0.28,70
503,R,5,3,870,II,0.27,70
504,R,5,4,870,II,0.18,80
505,R,5,5,870,II,0.25,90
506,R,5,6,870,II,0.63,45
601,R,6,1,1740,II,0,100
602,R,6,2,1740,II,0,100
603,R,6,3,1740,II,0,99
604,R,6,4,1740,II,0,100
605,R,6,5,1740,II,0.1,90
606,R,6,6,1740,II,0.12,95
701,R,7,1,3470,II,0.13,100
702,R,7,2,3470,II,0,100
703,R,7,3,3470,II,0,100
704,R,7,4,3470,II,0.06,100
705,R,7,5,3470,II,0,100
706,R,7,6,3470,II,0,100
801,R,8,1,6950,II,0,100
802,R,8,2,6950,II,0,100
803,R,8,3,6950,II,0,100
804,R,8,4,6950,II,0,100
805,R,8,5,6950,II,0,100
806,R,8,6,6950,II,0,100
901,R,9,1,13900,II,0,100
902,R,9,2,13900,II,0,100
903,R,9,3,13900,II,0,100
904,R,9,4,13900,II,0,100
905,R,9,5,13900,II,0,100
906,R,9,6,13900,II,0,100
1001,R,10,1,27800,II,0,100
1002,R,10,2,27800,II,0,100
1003,R,10,3,27800,II,0,100
1004,R,10,4,27800,II,0,100
1005,R,10,5,27800,II,0,100
1006,R,10,6,27800,II,0,100
101,S,1,1,0,III,1.51,0
201,S,1,2,0,III,1.06,0
301,S,1,3,0,III,1.34,0
401,S,1,4,0,III,1.3,0
501,S,1,5,0,III,1.7,0
601,S,1,6,0,III,1.59,0
102,S,2,1,27.3,III,1.2,80
202,S,2,2,27.3,III,1.28,0
302,S,2,3,27.3,III,1.38,3
402,S,2,4,27.3,III,1.46,2
502,S,2,5,27.3,III,1.47,2
602,S,2,6,27.3,III,0.75,20
103,S,3,1,54.5,III,1.81,2
203,S,3,2,54.5,III,1.52,2
303,S,3,3,54.5,III,1.32,3
403,S,3,4,54.5,III,1.75,1
503,S,3,5,54.5,III,1.33,3
603,S,3,6,54.5,III,1.45,1
104,S,4,1,109,III,0.73,3
204,S,4,2,109,III,0.18,80
304,S,4,3,109,III,0.29,70
404,S,4,4,109,III,0.7,35
504,S,4,5,109,III,0.49,65
604,S,4,6,109,III,0.41,60
105,S,5,1,217,III,0.12,50
205,S,5,2,217,III,0.14,85
305,S,5,3,217,III,0.11,85
405,S,5,4,217,III,0.08,90
505,S,5,5,217,III,0.21,80
605,S,5,6,217,III,0.19,90
106,S,6,1,434,III,0,95
206,S,6,2,434,III,0.1,95
306,S,6,3,434,III,0.15,95
406,S,6,4,434,III,0.1,90
506,S,6,5,434,III,0.09,95
606,S,6,6,434,III,0,100
107,S,7,1,870,III,0,100
207,S,7,2,870,III,0,100
307,S,7,3,870,III,0,100
407,S,7,4,870,III,0,100
507,S,7,5,870,III,0,100
607,S,7,6,870,III,0,100
108,S,8,1,1740,III,0,100
208,S,8,2,1740,III,0,100
308,S,8,3,1740,III,0,100
408,S,8,4,1740,III,0,100
508,S,8,5,1740,III,0,100
608,S,8,6,1740,III,0,100
109,S,9,1,3470,III,0,100
209,S,9,2,3470,III,0,100
309,S,9,3,3470,III,0,100
409,S,9,4,3470,III,0,100
509,S,9,5,3470,III,0,100
609,S,9,6,3470,III,0,100
110,S,10,1,6950,III,0,100
210,S,10,2,6950,III,0,100
310,S,10,3,6950,III,0,100
410,S,10,4,6950,III,0,100
510,S,10,5,6950,III,0,100
610,S,10,6,6950,III,0,100
111,S,11,1,13900,III,0,100
211,S,11,2,13900,III,0,100
311,S,11,3,13900,III,0,100
411,S,11,4,13900,III,0,100
511,S,11,5,13900,III,0,100
611,S,11,6,13900,III,0,100
112,S,12,1,27800,III,0,100
212,S,12,2,27800,III,0,100
312,S,12,3,27800,III,0,100
412,S,12,4,27800,III,0,100
512,S,12,5,27800,III,0,100
612,S,12,6,27800,III,0,100
101,R,1,1,0,III,1.81,0
201,R,1,2,0,III,1.77,0
301,R,1,3,0,III,1.78,0
401,R,1,4,0,III,2.22,0
501,R,1,5,0,III,2.21,0
601,R,1,6,0,III,2.93,0
102,R,2,1,27.3,III,1.87,2
202,R,2,2,27.3,III,1.85,0
302,R,2,3,27.3,III,1.96,2
402,R,2,4,27.3,III,1.77,1
502,R,2,5,27.3,III,1.59,1
602,R,2,6,27.3,III,1.89,0
103,R,3,1,54.5,III,1.75,2
203,R,3,2,54.5,III,2.02,1
303,R,3,3,54.5,III,2.15,3
403,R,3,4,54.5,III,2.74,2
503,R,3,5,54.5,III,2.16,1
603,R,3,6,54.5,III,1.81,2
104,R,4,1,109,III,0.6,20
204,R,4,2,109,III,0.44,45
304,R,4,3,109,III,1.36,40
404,R,4,4,109,III,1.42,5
504,R,4,5,109,III,0.95,50
604,R,4,6,109,III,1.04,25
105,R,5,1,217,III,0.16,100
205,R,5,2,217,III,0.08,85
305,R,5,3,217,III,0.18,90
405,R,5,4,217,III,0.09,80
505,R,5,5,217,III,0.31,70
605,R,5,6,217,III,0,99
106,R,6,1,434,III,0,100
206,R,6,2,434,III,0,100
306,R,6,3,434,III,0,100
406,R,6,4,434,III,0,100
506,R,6,5,434,III,0.08,100
606,R,6,6,434,III,0.08,65
107,R,7,1,870,III,0,100
207,R,7,2,870,III,0,100
307,R,7,3,870,III,0,100
407,R,7,4,870,III,0,100
507,R,7,5,870,III,0,100
607,R,7,6,870,III,0,100
108,R,8,1,1740,III,0,100
208,R,8,2,1740,III,0,100
308,R,8,3,1740,III,0,100
408,R,8,4,1740,III,0,100
508,R,8,5,1740,III,0,100
608,R,8,6,1740,III,0,100
109,R,9,1,3470,III,0,100
209,R,9,2,3470,III,0,100
309,R,9,3,3470,III,0,100
409,R,9,4,3470,III,0,100
509,R,9,5,3470,III,0,100
609,R,9,6,3470,III,0,100
110,R,10,1,6950,III,0,100
210,R,10,2,6950,III,0,100
310,R,10,3,6950,III,0,100
410,R,10,4,6950,III,0,100
510,R,10,5,6950,III,0,100
610,R,10,6,6950,III,0,100
111,R,11,1,13900,III,0,100
211,R,11,2,13900,III,0,100
311,R,11,3,13900,III,0,100
411,R,11,4,13900,III,0,100
511,R,11,5,13900,III,0,100
611,R,11,6,13900,III,0,100
112,R,12,1,27800,III,0,100
212,R,12,2,27800,III,0,100
312,R,12,3,27800,III,0,100
412,R,12,4,27800,III,0,100
512,R,12,5,27800,III,0,100
612,R,12,6,27800,III,0,100
101,Sorghum,1,1,0,III,1.18,0
201,Sorghum,1,2,0,III,1.93,0
301,Sorghum,1,3,0,III,0.66,0
401,Sorghum,1,4,0,III,1.4,0
501,Sorghum,1,5,0,III,1.57,0
601,Sorghum,1,6,0,III,1.47,0
102,Sorghum,2,1,27.3,III,2.2,3
202,Sorghum,2,2,27.3,III,1.72,2
302,Sorghum,2,3,27.3,III,1.46,3
402,Sorghum,2,4,27.3,III,1.65,0
502,Sorghum,2,5,27.3,III,1.86,5
602,Sorghum,2,6,27.3,III,1.62,1
103,Sorghum,3,1,54.5,III,0.84,50
203,Sorghum,3,2,54.5,III,1.23,3
303,Sorghum,3,3,54.5,III,1.25,10
403,Sorghum,3,4,54.5,III,0.8,25
503,Sorghum,3,5,54.5,III,1.1,5
603,Sorghum,3,6,54.5,III,1.44,5
104,Sorghum,4,1,109,III,0.37,55
204,Sorghum,4,2,109,III,0.29,50
304,Sorghum,4,3,109,III,0.42,55
404,Sorghum,4,4,109,III,0.3,55
504,Sorghum,4,5,109,III,0.29,50
604,Sorghum,4,6,109,III,0.64,40
105,Sorghum,5,1,217,III,0.24,80
205,Sorghum,5,2,217,III,0.2,70
305,Sorghum,5,3,217,III,0.18,70
405,Sorghum,5,4,217,III,0.34,55
505,Sorghum,5,5,217,III,0.22,55
605,Sorghum,5,6,217,III,0.22,65
106,Sorghum,6,1,434,III,0.15,95
206,Sorghum,6,2,434,III,0.33,80
306,Sorghum,6,3,434,III,0.21,70
406,Sorghum,6,4,434,III,0.28,60
506,Sorghum,6,5,434,III,0.11,85
606,Sorghum,6,6,434,III,0.2,70
107,Sorghum,7,1,870,III,0,100
207,Sorghum,7,2,870,III,0.13,98
307,Sorghum,7,3,870,III,0.11,90
407,Sorghum,7,4,870,III,0,100
507,Sorghum,7,5,870,III,0,100
607,Sorghum,7,6,870,III,0.1,98
108,Sorghum,8,1,1740,III,0,100
208,Sorghum,8,2,1740,III,0,100
308,Sorghum,8,3,1740,III,0.07,100
408,Sorghum,8,4,1740,III,0,100
508,Sorghum,8,5,1740,III,0.05,100
608,Sorghum,8,6,1740,III,0.15,100
109,Sorghum,9,1,3470,III,0,100
209,Sorghum,9,2,3470,III,0,100
309,Sorghum,9,3,3470,III,0,100
409,Sorghum,9,4,3470,III,0,100
509,Sorghum,9,5,3470,III,0,100
609,Sorghum,9,6,3470,III,0,100
110,Sorghum,10,1,6950,III,0,100
210,Sorghum,10,2,6950,III,0,100
310,Sorghum,10,3,6950,III,0,100
410,Sorghum,10,4,6950,III,0,100
510,Sorghum,10,5,6950,III,0,100
610,Sorghum,10,6,6950,III,0,100
111,Sorghum,11,1,13900,III,0,100
211,Sorghum,11,2,13900,III,0,100
311,Sorghum,11,3,13900,III,0,100
411,Sorghum,11,4,13900,III,0,100
511,Sorghum,11,5,13900,III,0,100
611,Sorghum,11,6,13900,III,0,100
112,Sorghum,12,1,27800,III,0,100
212,Sorghum,12,2,27800,III,0,100
312,Sorghum,12,3,27800,III,0,100
412,Sorghum,12,4,27800,III,0,100
512,Sorghum,12,5,27800,III,0,100
612,Sorghum,12,6,27800,III,0,100
101,S ,1,1,0,IV,2.28,0
201,S ,1,2,0,IV,1.83,0
301,S ,1,3,0,IV,1.61,0
401,S ,1,4,0,IV,1.6,0
501,S ,1,5,0,IV,1.87,0
601,S ,1,6,0,IV,1.44,0
102,S ,2,1,27.3,IV,2,0
202,S ,2,2,27.3,IV,1.89,0
302,S ,2,3,27.3,IV,1.95,0
402,S ,2,4,27.3,IV,2.28,0
502,S ,2,5,27.3,IV,2.2,0
602,S ,2,6,27.3,IV,1.95,0
103,S ,3,1,54.5,IV,1.39,20
203,S ,3,2,54.5,IV,0.29,60
303,S ,3,3,54.5,IV,1.14,5
403,S ,3,4,54.5,IV,1.33,15
503,S ,3,5,54.5,IV,1.45,10
603,S ,3,6,54.5,IV,2.17,1
104,S ,4,1,109,IV,0.13,65
204,S ,4,2,109,IV,0,90
304,S ,4,3,109,IV,0.15,90
404,S ,4,4,109,IV,0.34,75
504,S ,4,5,109,IV,0.23,95
604,S ,4,6,109,IV,0.4,50
105,S ,5,1,217,IV,0.19,90
205,S ,5,2,217,IV,0.16,98
305,S ,5,3,217,IV,0.14,95
405,S ,5,4,217,IV,0.12,95
505,S ,5,5,217,IV,0.08,95
605,S ,5,6,217,IV,0.1,98
106,S ,6,1,434,IV,0.1,95
206,S ,6,2,434,IV,0.14,90
306,S ,6,3,434,IV,0.08,99
406,S ,6,4,434,IV,0.18,90
506,S ,6,5,434,IV,0.16,95
606,S ,6,6,434,IV,0.14,95
107,S ,7,1,870,IV,0,100
207,S ,7,2,870,IV,0,100
307,S ,7,3,870,IV,0,100
407,S ,7,4,870,IV,0,100
507,S ,7,5,870,IV,0,100
607,S ,7,6,870,IV,0,100
108,S ,8,1,1740,IV,0,100
208,S ,8,2,1740,IV,0,100
308,S ,8,3,1740,IV,0,100
408,S ,8,4,1740,IV,0,100
508,S ,8,5,1740,IV,0,100
608,S ,8,6,1740,IV,0,100
109,S ,9,1,3470,IV,0,100
209,S ,9,2,3470,IV,0,100
309,S ,9,3,3470,IV,0,100
409,S ,9,4,3470,IV,0,100
509,S ,9,5,3470,IV,0,100
609,S ,9,6,3470,IV,0,100
110,S ,10,1,6950,IV,0,100
210,S ,10,2,6950,IV,0,100
310,S ,10,3,6950,IV,0,100
410,S ,10,4,6950,IV,0,100
510,S ,10,5,6950,IV,0,100
610,S ,10,6,6950,IV,0,100
111,S ,11,1,13900,IV,0,100
211,S ,11,2,13900,IV,0,100
311,S ,11,3,13900,IV,0,100
411,S ,11,4,13900,IV,0,100
511,S ,11,5,13900,IV,0,100
611,S ,11,6,13900,IV,0,100
112,S ,12,1,27800,IV,0,100
212,S ,12,2,27800,IV,0,100
312,S ,12,3,27800,IV,0,100
412,S ,12,4,27800,IV,0,100
512,S ,12,5,27800,IV,0,100
612,S ,12,6,27800,IV,0,100
101,R,1,1,0,IV,1.87,0
201,R,1,2,0,IV,2.19,0
301,R,1,3,0,IV,1.69,0
401,R,1,4,0,IV,2.35,0
501,R,1,5,0,IV,1.99,0
601,R,1,6,0,IV,2.46,0
102,R,2,1,27.3,IV,1.99,0
202,R,2,2,27.3,IV,1.28,0
302,R,2,3,27.3,IV,1.7,0
402,R,2,4,27.3,IV,1.79,2
502,R,2,5,27.3,IV,1.92,3
602,R,2,6,27.3,IV,1.75,2
103,R,3,1,54.5,IV,1.63,5
203,R,3,2,54.5,IV,1.9,5
303,R,3,3,54.5,IV,2.61,1
403,R,3,4,54.5,IV,2.34,2
503,R,3,5,54.5,IV,2.8,3
603,R,3,6,54.5,IV,2.4,2
104,R,4,1,109,IV,0.55,45
204,R,4,2,109,IV,0.93,40
304,R,4,3,109,IV,0.12,70
404,R,4,4,109,IV,0.2,60
504,R,4,5,109,IV,1.04,45
604,R,4,6,109,IV,1.34,60
105,R,5,1,217,IV,0.08,90
205,R,5,2,217,IV,0,98
305,R,5,3,217,IV,0.18,85
405,R,5,4,217,IV,0,95
505,R,5,5,217,IV,0,100
605,R,5,6,217,IV,0,95
106,R,6,1,434,IV,0,98
206,R,6,2,434,IV,0,100
306,R,6,3,434,IV,0,100
406,R,6,4,434,IV,0,100
506,R,6,5,434,IV,0,100
606,R,6,6,434,IV,0,100
107,R,7,1,870,IV,0,100
207,R,7,2,870,IV,0,100
307,R,7,3,870,IV,0,100
407,R,7,4,870,IV,0,100
507,R,7,5,870,IV,0,100
607,R,7,6,870,IV,0,100
108,R,8,1,1740,IV,0,100
208,R,8,2,1740,IV,0,100
308,R,8,3,1740,IV,0,100
408,R,8,4,1740,IV,0,100
508,R,8,5,1740,IV,0,100
608,R,8,6,1740,IV,0,100
109,R,9,1,3470,IV,0,100
209,R,9,2,3470,IV,0,100
309,R,9,3,3470,IV,0,100
409,R,9,4,3470,IV,0,100
509,R,9,5,3470,IV,0,100
609,R,9,6,3470,IV,0,100
110,R,10,1,6950,IV,0,100
210,R,10,2,6950,IV,0,100
310,R,10,3,6950,IV,0,100
410,R,10,4,6950,IV,0,100
510,R,10,5,6950,IV,0,100
610,R,10,6,6950,IV,0,100
111,R,11,1,13900,IV,0,100
211,R,11,2,13900,IV,0,100
311,R,11,3,13900,IV,0,100
411,R,11,4,13900,IV,0,100
511,R,11,5,13900,IV,0,100
611,R,11,6,13900,IV,0,100
112,R,12,1,27800,IV,0,100
212,R,12,2,27800,IV,0,100
312,R,12,3,27800,IV,0,100
412,R,12,4,27800,IV,0,100
512,R,12,5,27800,IV,0,100
612,R,12,6,27800,IV,0,100
101,Sorghum,1,1,0,IV,1.27,0
201,Sorghum,1,2,0,IV,1.37,0
301,Sorghum,1,3,0,IV,1.69,0
401,Sorghum,1,4,0,IV,1.39,0
501,Sorghum,1,5,0,IV,1.15,0
601,Sorghum,1,6,0,IV,1.7,0
102,Sorghum,2,1,27.3,IV,1.85,0
202,Sorghum,2,2,27.3,IV,2.11,0
302,Sorghum,2,3,27.3,IV,2.22,0
402,Sorghum,2,4,27.3,IV,1.66,0
502,Sorghum,2,5,27.3,IV,1.49,0
602,Sorghum,2,6,27.3,IV,1.76,0
103,Sorghum,3,1,54.5,IV,0.84,15
203,Sorghum,3,2,54.5,IV,0.23,20
303,Sorghum,3,3,54.5,IV,0.91,10
403,Sorghum,3,4,54.5,IV,1,25
503,Sorghum,3,5,54.5,IV,0.7,20
603,Sorghum,3,6,54.5,IV,1,15
104,Sorghum,4,1,109,IV,0.57,45
204,Sorghum,4,2,109,IV,0.28,60
304,Sorghum,4,3,109,IV,0.35,40
404,Sorghum,4,4,109,IV,0.82,40
504,Sorghum,4,5,109,IV,0.33,60
604,Sorghum,4,6,109,IV,0.22,75
105,Sorghum,5,1,217,IV,0.26,80
205,Sorghum,5,2,217,IV,0.19,85
305,Sorghum,5,3,217,IV,0.24,60
405,Sorghum,5,4,217,IV,0.25,80
505,Sorghum,5,5,217,IV,0.13,90
605,Sorghum,5,6,217,IV,0.19,80
106,Sorghum,6,1,434,IV,0.09,98
206,Sorghum,6,2,434,IV,0.16,90
306,Sorghum,6,3,434,IV,0.15,98
406,Sorghum,6,4,434,IV,0.12,98
506,Sorghum,6,5,434,IV,0.21,90
606,Sorghum,6,6,434,IV,0.29,85
107,Sorghum,7,1,870,IV,0.15,100
207,Sorghum,7,2,870,IV,0,100
307,Sorghum,7,3,870,IV,0.19,98
407,Sorghum,7,4,870,IV,0,100
507,Sorghum,7,5,870,IV,0,100
607,Sorghum,7,6,870,IV,0.11,99
108,Sorghum,8,1,1740,IV,0,100
208,Sorghum,8,2,1740,IV,0,100
308,Sorghum,8,3,1740,IV,0.07,99
408,Sorghum,8,4,1740,IV,0,100
508,Sorghum,8,5,1740,IV,0.05,99
608,Sorghum,8,6,1740,IV,0.15,95
109,Sorghum,9,1,3470,IV,0,100
209,Sorghum,9,2,3470,IV,0,100
309,Sorghum,9,3,3470,IV,0,100
409,Sorghum,9,4,3470,IV,0,100
509,Sorghum,9,5,3470,IV,0,100
609,Sorghum,9,6,3470,IV,0,100
110,Sorghum,10,1,6950,IV,0,100
210,Sorghum,10,2,6950,IV,0,100
310,Sorghum,10,3,6950,IV,0,100
410,Sorghum,10,4,6950,IV,0,100
510,Sorghum,10,5,6950,IV,0,100
610,Sorghum,10,6,6950,IV,0,100
111,Sorghum,11,1,13900,IV,0,100
211,Sorghum,11,2,13900,IV,0,100
311,Sorghum,11,3,13900,IV,0,100
411,Sorghum,11,4,13900,IV,0,100
511,Sorghum,11,5,13900,IV,0,100
611,Sorghum,11,6,13900,IV,0,100
112,Sorghum,12,1,27800,IV,0,100
212,Sorghum,12,2,27800,IV,0,100
312,Sorghum,12,3,27800,IV,0,100
412,Sorghum,12,4,27800,IV,0,100
512,Sorghum,12,5,27800,IV,0,100
612,Sorghum,12,6,27800,IV,0,100